X,Y,Z,OBJECTID,lsoa01cd,lsoa01nm,GlobalID
528204,191087,300,164,E01000164,Barnet 022D,{B5FC42E3-E41B-4737-8946-7FA2F2EA3998}
528191,191719,300,165,E01000165,Barnet 022E,{1E35F15A-CAED-4A10-B192-2D8B3C3C9578}
527404,196542,300,166,E01000166,Barnet 003A,{663EEC68-F4E4-4C2D-AD06-2A6E8F7BC8B4}
526879,196635,300,167,E01000167,Barnet 002A,{A3D6EE99-95D2-4676-87D0-AB25CEF904C6}
527693,196100,300,168,E01000168,Barnet 003B,{2C049FF6-6CAA-4355-BFA4-7658182902F9}
527074,196216,300,169,E01000169,Barnet 003C,{36CAEA60-9A1D-40FB-B0E5-F3D5A2AB073F}
527056,195701,300,170,E01000170,Barnet 006A,{5612C836-4390-4865-AF7F-F7E4B4D9715D}
526735,195962,300,171,E01000171,Barnet 006B,{CEF1A83D-9F99-4AD1-AF84-F58A30AA6035}
527970,195521,300,172,E01000172,Barnet 003D,{3F48F255-EF07-4980-9CC2-916422FE8F82}
527524,195315,300,173,E01000173,Barnet 006C,{31279B64-D22D-4EA5-B5B1-E6FAC7E55409}
527060,195231,300,174,E01000174,Barnet 006D,{BC902A6E-9F69-4B43-A9C6-D6F25900A424}
527235,194790,300,175,E01000175,Barnet 006E,{0A9E7EF4-CC7B-4E73-B6F8-85C64E92DF2E}
526243,190103,300,176,E01000176,Barnet 027A,{FB3C9F25-3151-41BC-849B-1C72543D07F3}
526714,189821,300,177,E01000177,Barnet 029A,{054A92DC-B238-4B19-9BC4-04CE8B8522BC}
527248,189884,300,178,E01000178,Barnet 027B,{6DFFEA37-C5D6-42F2-92CE-172CB743CBD4}
526400,189983,300,179,E01000179,Barnet 029B,{878854D6-0DA8-48A7-A0B0-CE448BE18D8B}
526812,189465,300,180,E01000180,Barnet 029C,{0CF2F799-6D79-4555-B4C0-6629EB9D0E72}
527315,189630,300,181,E01000181,Barnet 029D,{1F9D563F-2089-4764-A8E0-0B319DE2C975}
527395,189342,300,182,E01000182,Barnet 029E,{4DBCA328-D9E1-4E06-8517-47FD44A1E2A6}
526450,189442,300,183,E01000183,Barnet 033A,{D924E86D-0AF4-42DA-8CE3-4EF1F4A77F49}
526754,190670,300,184,E01000184,Barnet 027C,{D8B44677-3684-4CFA-A92D-1292686A5758}
526690,190134,300,185,E01000185,Barnet 029F,{3ABA070E-6E89-4541-9BF3-150ADF319F5D}
519520,192996,300,186,E01000186,Barnet 014A,{8BA742D2-FF3F-42FA-A9B3-0AA19ECC698A}
519677,193374,300,187,E01000187,Barnet 014B,{DD43CA01-84EC-4FB7-A256-255A408D05DD}
519021,193321,300,188,E01000188,Barnet 014C,{1680F43B-79D2-4870-9262-8F131E4D3D36}
518610,192737,300,189,E01000189,Barnet 014D,{4DECDA12-26D5-4C9E-B016-6D8BA3D92440}
518869,192516,300,190,E01000190,Barnet 014E,{35E9C45E-496A-4B57-8824-D7FA21008B17}
519254,192692,300,191,E01000191,Barnet 014F,{E2CB4999-217D-478D-B15A-B72870377025}
519647,192255,300,192,E01000192,Barnet 018A,{261809EC-AA99-4CCD-A74A-CC9181D07ED3}
519192,192085,300,193,E01000193,Barnet 018B,{5C3411B2-4613-4A4E-8191-980F08A61A69}
519625,191646,300,194,E01000194,Barnet 018C,{025B56F4-2992-488A-B435-337E95A4D0C6}
519912,193787,300,195,E01000195,Barnet 013A,{21191215-131E-4BF9-9A58-520EFBA39716}
